,distance,pop
0,0.0,221201920.0
1,0.927666662956,171732260.0
2,1.311918776113766,41076470.0
3,1.855333325912,47457224.0
4,2.0743257188300017,27655536.0
5,2.623837552227532,19044726.0
6,2.7829999888679997,18215682.0
7,2.9335395643487083,13033592.0
8,3.3447497198264284,16036530.0
9,3.710666651824,13597258.0
10,3.8248676367318457,9463280.0
11,3.935756328341298,5445367.5
12,4.148651437660003,8497918.0
13,4.63833331478,11593586.0
14,4.6383333147800005,7797159.5
15,4.730190416522145,4860063.0
16,4.995637866102556,6824313.5
17,5.247675104455064,4085807.0
18,5.409179686148105,6343669.5
19,5.565999977735999,6566231.5
20,5.642776018035544,3969872.2
21,5.867079128697417,5765992.5
22,5.9399648938320135,4501667.0
23,6.222977156490006,5320098.5
24,6.493666640692,5566146.5
25,6.55959388056883,3283988.0
26,6.559593880568831,2965457.5
27,6.689499439652857,3588717.8
28,6.7535152469418325,2804031.0
29,7.064898822946823,4597857.0
30,7.245308253701506,3687374.0
31,7.421333303648,4589765.5
32,7.47908774125527,5837684.0
33,7.649735273463691,2592739.0
34,7.871512656682596,2464710.8
35,7.92598744270228,3386038.2
36,7.9800903741395155,2007686.4
37,8.297302875320007,3887488.0
38,8.348999966604,3256358.2
39,8.400378912877294,1928147.2
40,8.55266404067138,5196641.5
41,8.751589795164817,2619939.0
42,8.800618693046124,2114991.0
43,9.136457050920358,3518150.2
44,9.183431432796361,1636041.6
45,9.27666662956,1709578.6
46,9.276666629560001,3008502.2
47,9.322934580568075,1667984.4
48,9.46038083304429,1976523.0
49,9.550912855918622,2279047.2
50,9.685124299358858,1931689.9
51,9.861231892835248,2496683.2
52,9.991275732205112,2699318.8
53,10.034249159479284,1493195.5
54,10.204333292515999,2838390.2
55,10.246413195958397,1482045.6
56,10.37162859415001,3718947.8
57,10.495350208910128,1312782.6
58,10.57702731786156,3034004.5
59,10.81835937229621,2003561.2
60,10.858059907078665,1721490.0
61,11.131999955471999,2561175.0
62,11.17058585957731,3478971.0
63,11.20903893666841,1917652.5
64,11.285552036071088,1258099.9
65,11.323614714234507,1238304.6
66,11.474602910195538,1545885.4
67,11.623629970749569,1881941.4
68,11.734158257394833,1538734.1
69,11.807268985023894,1174846.8
70,11.879929787664027,1210679.4
71,12.059666618428,4230326.5
72,12.09529348073814,2212663.0
73,12.201549930146838,1238317.0
74,12.37661698064806,1461425.8
75,12.445954312980012,1656800.2
76,12.480478524413465,1532687.6
77,12.617630758133057,2433110.5
78,12.887557155996038,1607552.9
79,12.920901473450861,1434391.8
80,12.987333281384,1847530.5
81,13.02042208222546,1080663.0
82,13.11918776113766,1172984.2
83,13.119187761137661,1111645.0
84,13.184620524956493,1013980.1
85,13.282165286570702,2569282.2
86,13.378998879305714,992546.0
87,13.507030493883665,1321028.8
88,13.696834137422515,1520028.2
89,13.79075638609944,1348562.6
90,13.790756386099442,1382741.6
91,13.91499994434,2599425.5
92,13.945887884553718,925924.7
93,14.038143937188488,1024567.3
94,14.129797645893646,1442569.5
95,14.160217051707278,947250.94
96,14.190571249566435,979556.5
97,14.401259335625511,1231188.5
98,14.431106537251425,968769.7
99,14.490616507403011,845243.9
100,14.520280031810014,1152661.5
101,14.667697821743543,2140540.5
102,14.842666607296,1704716.6
103,14.87162793553213,907485.0
104,14.95817548251054,2339240.0
105,14.986913598307671,925368.9
106,15.101319179243216,2086963.4
107,15.214864531227963,818926.0
108,15.299470546927383,1078853.1
109,15.355615581650197,1170088.0
110,15.439450320659024,857064.44
111,15.550526934941393,1131470.2
112,15.743025313365193,934894.8
113,15.770333270252,2836773.2
114,15.797594022267349,1420994.5
115,15.85197488540456,929946.75
116,15.879095478176861,742071.44
117,15.960180748279031,770394.3
118,16.014009503957976,781502.06
119,16.201001773216863,2044890.4
120,16.227539058444314,757523.5
121,16.412098645702056,1159668.4
122,16.43829514864042,1014112.06
123,16.516635362763658,736164.1
124,16.594605750640014,955017.4
125,16.697999933208,1462770.6
126,16.723748599132144,2257005.5
127,16.800757825754587,665557.56
128,16.928328054106633,795466.9
129,17.029696193934093,1141644.2
130,17.054944089478955,729932.0
131,17.05494408947896,699080.25
132,17.10532808134276,1452772.8
133,17.25559739318615,712897.06
134,17.330243440540944,871529.3
135,17.42927420917613,984909.4
136,17.503179590329633,756729.4
137,17.601237386092247,900932.7
138,17.625666596164002,1236860.5
139,17.650061994131676,653178.8
140,17.723046710692017,1045408.75
141,17.72304671069202,679865.25
142,17.819894681496038,712520.25
143,17.844024543167684,935084.94
144,17.844024543167688,706523.94
145,17.91621913825153,677586.2
146,18.012028479882275,722887.0
147,18.01202847988228,780795.44
148,18.225758115868036,939386.4
149,18.272914101840716,956887.8
150,18.296446518677044,731056.3
151,18.366862865592722,665972.8
152,18.41365749650538,659209.6
153,18.48362731476938,908833.2
154,18.55333325912,710309.3
155,18.553333259120002,1094718.9
156,18.576510448992522,604316.56
157,18.64586916113615,628670.7
158,18.668931469470017,895548.06
159,18.76089720567776,667030.75
160,18.783818285949412,661472.7
161,18.783818285949415,646975.1
162,18.92076166608858,709847.0
163,19.03412853830526,1007453.3
164,19.101825711837243,934455.25
165,19.12433818365923,1946946.9
166,19.303492804760637,640009.2
167,19.370248598717716,827899.3
168,19.480999922076002,1066863.6
169,19.5030747166052,1393774.9
170,19.56914969318199,1189488.5
171,19.656904167859306,675322.7
172,19.678781641706493,1190309.9
173,19.722463785670495,523755.3
174,19.83124819482838,629218.44
175,19.852933546517598,616060.56
176,19.917847943869933,771426.7
177,19.982551464410225,641582.25
178,20.025571000671196,621925.2
179,20.068498318958568,605149.0
180,20.260545740825503,759709.25
181,20.345318268985668,1749956.8
182,20.366456267693746,544777.8
