,distance,pop
0,0.0,7623804.0
1,0.927666662956,10949563.0
2,1.311918776113766,3805569.8
3,1.855333325912,5496176.0
4,2.0743257188300017,3772303.8
5,2.623837552227532,3188838.2
6,2.7829999888679997,3104093.8
7,2.9335395643487083,2277622.0
8,3.3447497198264284,3217826.8
9,3.710666651824,2871022.2
10,3.8248676367318457,2040780.6
11,3.935756328341298,1233657.0
12,4.148651437660003,1962156.8
13,4.63833331478,2850391.5
14,4.6383333147800005,1935021.8
15,4.730190416522145,1097109.8
16,4.995637866102556,1741513.2
17,5.247675104455064,1122663.2
18,5.409179686148105,1721786.8
19,5.565999977735999,1813876.4
20,5.642776018035544,1025587.5
21,5.867079128697417,1587017.2
22,5.9399648938320135,1284709.9
23,6.222977156490006,1578586.8
24,6.493666640692,1682144.4
25,6.55959388056883,936603.9
26,6.559593880568831,896943.4
27,6.689499439652857,1086756.8
28,6.7535152469418325,857498.2
29,7.064898822946823,1418854.6
30,7.245308253701506,1148415.5
31,7.421333303648,1501699.4
32,7.47908774125527,1782227.4
33,7.649735273463691,798495.7
34,7.871512656682596,805148.25
35,7.92598744270228,1099600.5
36,7.9800903741395155,633917.0
37,8.297302875320007,1265245.1
38,8.348999966604,1168358.6
39,8.400378912877294,611650.4
40,8.55266404067138,1666718.5
41,8.751589795164817,875152.25
42,8.800618693046124,708619.44
43,9.136457050920358,1161678.2
44,9.183431432796361,564089.75
45,9.27666662956,575871.94
46,9.276666629560001,1082481.1
47,9.322934580568075,548243.7
48,9.46038083304429,667647.6
49,9.550912855918622,791518.1
50,9.685124299358858,664743.9
51,9.861231892835248,860500.4
52,9.991275732205112,917900.06
53,10.034249159479284,499146.97
54,10.204333292515999,995782.75
55,10.246413195958397,517785.7
56,10.37162859415001,1342643.4
57,10.495350208910128,489691.2
58,10.57702731786156,1097536.5
59,10.81835937229621,740581.2
60,10.858059907078665,593137.0
61,11.131999955471999,959632.56
62,11.17058585957731,1238068.9
63,11.20903893666841,650075.3
64,11.285552036071088,456080.66
65,11.323614714234507,435186.88
66,11.474602910195538,547286.9
67,11.623629970749569,654826.44
68,11.734158257394833,559864.6
69,11.807268985023894,431618.78
70,11.879929787664027,433405.16
71,12.059666618428,1541090.8
72,12.09529348073814,796583.5
73,12.201549930146838,424561.8
74,12.37661698064806,524385.6
75,12.445954312980012,622086.4
76,12.480478524413465,564136.75
