country,area_km2,overlap_ratio,total_cells,urban_cells,rural_cells,urban,rural,total,urban_population_mean,rural_population_mean,urban_share,rural_share,urban_density_stats,rural_density_stats
Uganda,242862.8076379863,100.0,242899,50459,105890,39259248.824518695,12101568.358341835,51360817.18286053,778.042545918839,114.28433618228195,0.7643813120173599,0.2356186879826401,"{'min': 0.01827407069504261, 'max': 25523.11883544922, 'std': 1205.3717763692953}","{'min': 0.0051650917157530785, 'max': 4043.2221544589847, 'std': 132.79852488902364}"
Cameroon,469410.4198119269,100.00000000000013,469440,6518,98736,22649874.85830627,7454852.953203315,30104727.811509587,3474.9731295345614,75.50288601121491,0.7523693620523887,0.24763063794761128,"{'min': 0.7809286117553711, 'max': 61950.52110290527, 'std': 6788.918923338049}","{'min': 0.0034262272529304028, 'max': 4152.710398748517, 'std': 167.7711988495575}"
Madagascar,594793.8590415918,100.00000000000004,594780,7503,268140,14472325.720897567,17125188.527097456,31597514.247995023,1928.8718807007285,63.86659404451949,0.45802102049264487,0.5419789795073552,"{'min': 0.014025953598320484, 'max': 124970.50909233093, 'std': 4881.465561123901}","{'min': 0.002305357251316309, 'max': 4848.832434654236, 'std': 166.12178259245283}"
Zimbabwe,392711.28264445113,100.00000000000007,392705,2864,232408,5687605.988356793,11696624.422784215,17384230.41114101,1985.895945655305,50.327976759768234,0.3271704213441502,0.6728295786558498,"{'min': 0.7955341413617134, 'max': 17651.62167470157, 'std': 2019.2786212849885}","{'min': 0.005180750973522663, 'max': 3330.4093871563673, 'std': 72.70860584575462}"
Malta,309.0280630233095,99.99999999999997,308,179,129,490298.49532636884,23149.976632966893,513448.47195933573,2739.0977392534573,179.45718320129373,0.9549127558124268,0.045087244187573185,"{'min': 15.114881120622158, 'max': 11764.355373382568, 'std': 2654.7331818461703}","{'min': 1.2163623794913292, 'max': 2117.911280952394, 'std': 220.33761511651267}"
Angola,1254853.0003605501,99.99999999999991,1254993,5348,243588,29382700.688549593,9432463.446814662,38815164.13536426,5494.147473550784,38.72302185171134,0.7569902470611788,0.2430097529388212,"{'min': 0.3791058361530304, 'max': 64133.33499145508, 'std': 8047.260821003329}","{'min': 0.0038358194287866354, 'max': 4328.632181465626, 'std': 109.26645632833957}"
Burundi,27104.015854993795,100.00000000000003,27100,13707,10052,12335504.12919146,1582620.7039020937,13918124.833093554,899.941936907526,157.443364892767,0.8862906661004327,0.11370933389956725,"{'min': 6.489026020746678, 'max': 86411.11748504639, 'std': 1889.2659615745233}","{'min': 0.013453220017254353, 'max': 1589.841942973435, 'std': 113.62803096903772}"
Liberia,96624.89383376419,100.0,96620,906,26613,3326451.7629523654,2226105.87917397,5552557.642126335,3671.5803123094543,83.64731068177093,0.5990845980085154,0.4009154019914847,"{'min': 6.839475434273481, 'max': 18661.183440566063, 'std': 4163.377092136883}","{'min': 0.004897162783890963, 'max': 4456.856804959476, 'std': 236.78458151660934}"
Kenya,585559.8372660846,99.99999999999996,585538,41028,162654,44475535.26578479,12778769.034741962,57254304.30052675,1084.0288404451787,78.56412405930357,0.7768068411474106,0.22319315885258945,"{'min': 0.051079947501420975, 'max': 154331.68423461914, 'std': 3202.3520262544707}","{'min': 0.0011653217661660165, 'max': 4889.50435757637, 'std': 144.57189049196978}"
Ethiopia,1136091.3659909824,99.99999999999983,1136109,68667,482634,91126599.44614962,41592419.46820599,132719018.9143556,1327.0799575654917,86.1779722692682,0.6866129676934559,0.313387032306544,"{'min': 5.568501710891724, 'max': 100980.15319824219, 'std': 3321.337715512658}","{'min': 0.007708846591413021, 'max': 4700.018764108419, 'std': 156.97979654195146}"
Lesotho,30539.747769298974,100.0,30528,841,20191,914215.4544459848,1445709.7650661063,2359925.219512091,1087.0576152746548,71.60169209380943,0.38739170499436276,0.6126082950056373,"{'min': 14.335898280143738, 'max': 5731.333677172661, 'std': 1051.6746546723264}","{'min': 0.0003937810834031552, 'max': 2049.2692628353834, 'std': 120.39634517302248}"
Guinea-Bissau,34279.01325915366,99.99999999999996,34287,326,12411,1212173.1785775768,985933.9763962904,2198107.1549738673,3718.3226336735484,79.44033328469023,0.5514622778214777,0.4485377221785222,"{'min': 1.203903317451477, 'max': 18616.689613342285, 'std': 4534.5716661203305}","{'min': 0.0038282580208033323, 'max': 3716.8210516683757, 'std': 167.41854715027674}"
Sierra Leone,72814.76711877278,99.99999999999996,72830,1429,33839,5358196.152902467,3686370.720516793,9044566.87341926,3749.612423304736,108.93852420333913,0.5924215308363157,0.40757846916368434,"{'min': 8.704067908460274, 'max': 45201.84055328369, 'std': 6204.426164068023}","{'min': 0.004687379114329815, 'max': 4946.353824496269, 'std': 248.7732473581331}"
Mauritius,1988.3557706886274,99.9345689483625,1980,612,987,1154878.2958342019,97942.92555386253,1252821.2213880643,1887.0560389447742,99.23295395528119,0.9218221052758457,0.07817789472415432,"{'min': 0.46386662125587463, 'max': 12338.866144180298, 'std': 2004.5685874861992}","{'min': 0.014029326848685741, 'max': 1975.2991451015696, 'std': 180.15217291404474}"
Algeria,2325145.1899330136,100.0,2325134,14503,215365,37649267.96038778,9052724.181479348,46701992.14186713,2595.964142617926,42.03433325507556,0.8061597853474902,0.19384021465250975,"{'min': 0.0559670589864254, 'max': 51977.13579750061, 'std': 3711.2562748993832}","{'min': 0.0013845984358340502, 'max': 4640.244100172073, 'std': 139.15195145697706}"
Equatorial Guinea,27065.629549384612,99.99999999999996,27019,237,3184,1513459.296259461,164759.1361779042,1678218.4324373652,6385.904203626417,51.74595985486941,0.9018249752276789,0.0981750247723211,"{'min': 10.142136866226792, 'max': 36086.164405822754, 'std': 8184.621027587759}","{'min': 0.0036793253384530544, 'max': 2015.260643929243, 'std': 118.69049158211881}"
Mozambique,790933.8680323109,100.00000000000013,790965,9422,319621,18456700.177202806,17067598.372477017,35524298.54967982,1958.8940964978567,53.399489934882304,0.5195514318570311,0.4804485681429689,"{'min': 0.5181636661291122, 'max': 32468.36166381836, 'std': 3186.0978286256127}","{'min': 0.0021673012524843216, 'max': 4510.869304034859, 'std': 119.84098008104094}"
Malawi,118800.47270857978,100.00000000000007,118784,18000,55637,15394333.184945637,6632450.284026701,22026783.46897234,855.2407324969798,119.20934421386309,0.6988915656537237,0.30110843434627627,"{'min': 0.06652127951383591, 'max': 45887.863029271364, 'std': 1362.2781760539624}","{'min': 0.0003187450929544866, 'max': 3366.916650015861, 'std': 149.56448938465098}"
Gambia,10807.515766548155,99.99999999999997,10756,645,6092,2229811.7277345927,644487.2093057083,2874298.937040301,3457.0724461001437,105.79238498123905,0.7757758592885456,0.2242241407114544,"{'min': 0.13604475557804108, 'max': 20608.96196746826, 'std': 4398.023066229454}","{'min': 0.01043776422739029, 'max': 3557.2608324326575, 'std': 267.33379161726987}"
Guinea,246490.85417960136,100.00000000000036,246496,2376,109025,8245685.320816057,6591098.14668976,14836783.467505816,3470.4062798047376,60.45492452822526,0.5557596320573804,0.4442403679426196,"{'min': 0.26361918449401855, 'max': 50005.44775390625, 'std': 4988.14730153075}","{'min': 0.001453776960261166, 'max': 4380.981140758842, 'std': 180.44206797572912}"
Côte d'’Ivoire,323898.4269257664,99.99999999999994,323908,5254,165391,20276518.368102647,10070358.725607544,30346877.09371019,3859.2535911881705,60.888190564223834,0.6681583184157435,0.3318416815842565,"{'min': 0.03199164569377899, 'max': 60765.234966278076, 'std': 5648.473615959905}","{'min': 0.004634966608136892, 'max': 4840.533645249903, 'std': 230.88070448873944}"
Togo,57420.07309442069,100.00000000000007,57444,2776,43281,6848307.124631124,2646892.2620870788,9495199.386718202,2466.9694252993963,61.155986739841474,0.7212388961742575,0.27876110382574243,"{'min': 0.09249702841043472, 'max': 48675.31609466672, 'std': 3333.131193279058}","{'min': 0.006149393506348133, 'max': 3599.283994805068, 'std': 163.77825590279093}"
Mali,1258161.9316634194,99.99999999999989,1258108,3624,180926,12026840.29418656,12729088.005329907,24755928.29951647,3318.664540338455,70.35521707952371,0.48581657486952196,0.514183425130478,"{'min': 1.18809131719172, 'max': 56695.10186004639, 'std': 4936.9795431086895}","{'min': 0.0033397208899259567, 'max': 4907.068177226931, 'std': 216.78874294787454}"
West Bank and Gaza Strip,365.1563386402504,100.0,366,283,79,1999326.3856929773,7561.8444834165275,2006888.2301763939,7064.757546618294,95.71955042299402,0.9962320549945366,0.003767945005463451,"{'min': 96.52176222205162, 'max': 33385.222774505615, 'std': 7840.071352494063}","{'min': 0.17198574542999268, 'max': 293.32549628801644, 'std': 89.31528414501214}"
Gibraltar,6.80916710420631,100.00000000000003,6,6,0,24959.280041068792,0.0,24959.280041068792,4159.880006844799,0.0,1.0,0.0,"{'min': 533.5101266130805, 'max': 6513.999632105231, 'std': 2011.9604052287275}","{'min': 0, 'max': 0, 'std': 0}"
Eritrea,120711.99372041509,100.00000000000007,120699,846,26554,2340219.0614476707,1375309.5931380065,3715528.654585677,2766.216384689918,51.79293489259646,0.6298482070806775,0.3701517929193225,"{'min': 1.2329570055007935, 'max': 55775.57576918602, 'std': 5594.01871352888}","{'min': 0.008762327022850513, 'max': 4222.765738070011, 'std': 162.19461871631455}"
Western Sahara,269656.19139037275,100.00000000000003,269728,115,2124,502711.6653446263,52025.00150673341,554736.6668513597,4371.405785605446,24.493880182077877,0.9062167608245133,0.09378323917548681,"{'min': 1.0917767211794853, 'max': 42205.14749145508, 'std': 6707.032349366654}","{'min': 5.9609297750284895e-05, 'max': 3998.9130477905273, 'std': 167.93178014564586}"
Sudan,1855538.786762711,100.00000000000007,1855901,11006,282093,37883043.30350138,12663913.471643865,50546956.77514525,3442.0355536526786,44.89268954438382,0.7494623953727139,0.2505376046272862,"{'min': 0.009200444445014, 'max': 204624.4619140625, 'std': 6186.986853898855}","{'min': 0.005137082654982805, 'max': 4928.314177513123, 'std': 170.13009510057591}"
Tunisia,155504.7755405084,99.99999471443472,155503,3522,71911,9032453.570144242,3505347.1558714504,12537800.726015693,2564.5807978830894,48.745632182440104,0.7204177006420334,0.27958229935796663,"{'min': 0.06992140412330627, 'max': 36727.262268066406, 'std': 3180.355736199227}","{'min': 0.0024885740131139755, 'max': 3702.762906730175, 'std': 112.46161811815428}"
Seychelles,299.84737569112804,100.0,299,66,97,69672.2780297203,16132.192845642567,85804.47087536287,1055.6405762078832,166.31126644992338,0.8119889012651132,0.1880110987348868,"{'min': 0.7575361728668213, 'max': 5619.158543035388, 'std': 1115.3941493422644}","{'min': 0.014906620606780052, 'max': 1002.3338838666677, 'std': 203.60003593356558}"
Congo,343869.2499694301,99.99999999999991,343860,853,22813,5719615.369190308,738028.7595985396,6457644.1287888475,6705.293516049599,32.35123655803882,0.88571238289389,0.11428761710611007,"{'min': 0.006670063361525536, 'max': 93841.12739506364, 'std': 13967.721041119683}","{'min': 4.186232035863213e-05, 'max': 4022.6975446492434, 'std': 156.17404823957384}"
